item,pair,n,stat,p,p_holm
A_1,A-B,8,12.5,0.4765625,0.953125
A_1,A-C,8,7.0,1.0,1.0
A_1,B-C,8,10.5,0.34375,0.953125
A_2,A-B,8,1.0,0.125,0.25
A_2,A-C,8,4.0,0.0625,0.1875
A_2,B-C,8,14.5,0.640625,0.640625
A_3,A-B,8,4.0,0.0546875,0.109375
A_3,A-C,8,6.0,0.53125,0.53125
A_3,B-C,8,0.0,0.03125,0.09375
A_4,A-B,8,10.0,0.625,1.0
A_4,A-C,8,10.5,1.0,1.0
A_4,B-C,8,6.5,0.53125,1.0
A_5,A-B,8,4.0,1.0,1.0
A_5,A-C,8,5.0,0.171875,0.34375
A_5,B-C,8,2.0,0.125,0.34375
A_6,A-B,8,15.5,0.8046875,0.8046875
A_6,A-C,8,10.0,0.25,0.75
A_6,B-C,8,8.0,0.71875,0.8046875
A_7,A-B,8,2.0,0.0625,0.1875
A_7,A-C,8,2.0,0.25,0.3125
A_7,B-C,8,5.0,0.3125,0.3125
B_1,A-B,8,1.0,0.03125,0.09375
B_1,A-C,8,1.0,0.0625,0.125
B_1,B-C,8,5.0,0.75,0.75
B_2,A-B,8,5.5,0.6875,1.0
B_2,A-C,8,5.0,1.0,1.0
B_2,B-C,8,3.5,0.75,1.0
B_3,A-B,8,6.0,0.40625,0.8125
B_3,A-C,8,0.0,0.5,0.8125
B_3,B-C,8,6.0,0.8125,0.8125
B_4,A-B,8,2.5,0.3125,0.9375
B_4,A-C,8,10.0,1.0,1.0
B_4,B-C,8,1.5,0.75,1.0
B_5,A-B,8,9.0,1.0,1.0
B_5,A-C,8,6.0,0.8125,1.0
B_5,B-C,8,4.0,0.375,1.0
B_6,A-B,8,6.0,0.4375,1.0
B_6,A-C,8,10.5,1.0,1.0
B_6,B-C,8,2.5,0.5,1.0
B_7,A-B,8,3.0,0.625,0.84375
B_7,A-C,8,6.0,0.265625,0.796875
B_7,B-C,8,9.0,0.84375,0.84375
B_8,A-B,8,12.0,0.796875,0.796875
B_8,A-C,8,10.0,0.53125,0.796875
B_8,B-C,8,10.0,0.625,0.796875
B_9,A-B,8,4.0,0.5,0.90625
B_9,A-C,8,9.5,0.90625,0.90625
B_9,B-C,8,8.5,0.46875,0.90625
B_10,A-B,8,10.5,0.765625,1.0
B_10,A-C,8,7.5,1.0,1.0
B_10,B-C,8,5.5,0.8125,1.0
B_11,A-B,8,0.0,0.0078125,0.0234375
B_11,A-C,8,0.0,0.0625,0.0625
B_11,B-C,8,2.0,0.0234375,0.046875
B_12,A-B,8,1.5,0.1875,0.375
B_12,A-C,8,1.0,0.125,0.375
B_12,B-C,8,1.0,0.5,0.5
