participant_id,condition,intermediality_index,agency_index
1661J,A,4.25,3.0
1661J,B,5.75,3.0
1661J,C,3.25,0.666666666666667
3483M,A,3.25,-0.3333333333333335
3483M,B,2.5,-3.333333333333333
3483M,C,4.0,0.3333333333333335
4069S,A,3.75,4.0
4069S,B,3.25,1.0
4069S,C,2.5,0.0
4939Z,A,-0.25,3.0
4939Z,B,1.25,-0.666666666666667
4939Z,C,1.5,-2.0
5220H,A,4.25,2.666666666666667
5220H,B,4.0,2.0
5220H,C,4.0,2.666666666666667
5344J,A,5.0,-1.333333333333333
5344J,B,3.25,1.0
5344J,C,3.75,2.0
5747E,A,3.25,2.666666666666667
5747E,B,0.5,1.6666666666666665
5747E,C,3.5,3.666666666666667
6770L,A,3.0,2.0
6770L,B,5.75,0.0
6770L,C,5.25,1.666666666666667
7974C,A,-0.75,3.666666666666667
7974C,B,1.5,1.0
7974C,C,1.0,1.666666666666667
