item,condition,n,mean,sd,median,iqr
A_1,A,9,5.222222222222222,1.3944333775567928,5.0,2.0
A_1,B,9,5.0,1.3228756555322954,6.0,2.0
A_1,C,9,5.555555555555555,1.2360330811826103,6.0,1.0
A_2,A,9,5.777777777777778,1.2018504251546631,6.0,0.0
A_2,B,9,4.0,2.23606797749979,3.0,4.0
A_2,C,9,4.333333333333333,1.7320508075688772,4.0,2.0
A_3,A,9,5.222222222222222,1.2018504251546631,6.0,2.0
A_3,B,9,3.6666666666666665,1.4142135623730951,4.0,2.0
A_3,C,9,5.111111111111111,0.927960727138337,5.0,0.0
A_4,A,9,4.777777777777778,0.9718253158075502,5.0,1.0
A_4,B,9,4.222222222222222,1.6414763002993509,4.0,3.0
A_4,C,9,4.777777777777778,1.3944333775567928,5.0,2.0
A_5,A,9,5.0,1.118033988749895,5.0,2.0
A_5,B,9,4.888888888888889,1.2692955176439846,5.0,2.0
A_5,C,9,5.888888888888889,0.7817359599705715,6.0,1.0
A_6,A,9,3.111111111111111,1.3642254619787415,3.0,2.0
A_6,B,9,3.3333333333333335,2.0,3.0,3.0
A_6,C,9,3.5555555555555554,1.509230856356236,4.0,1.0
A_7,A,9,5.222222222222222,1.5634719199411433,5.0,1.0
A_7,B,9,4.111111111111111,2.088327347690278,3.0,4.0
A_7,C,9,5.0,1.5,5.0,2.0
B_1,A,9,4.444444444444445,1.9436506316151,4.0,3.0
B_1,B,9,6.0,1.3228756555322954,6.0,1.0
B_1,C,9,5.777777777777778,1.0929064207170003,6.0,0.0
B_2,A,9,4.777777777777778,2.1666666666666665,6.0,4.0
B_2,B,9,4.888888888888889,2.0275875100994063,6.0,3.0
B_2,C,9,5.0,1.8708286933869707,6.0,3.0
B_3,A,9,5.444444444444445,1.130388330520878,6.0,1.0
B_3,B,9,5.666666666666667,1.4142135623730951,6.0,2.0
B_3,C,9,6.111111111111111,0.6009252125773316,6.0,0.0
B_4,A,9,5.666666666666667,1.224744871391589,6.0,2.0
B_4,B,9,6.0,1.0,6.0,1.0
B_4,C,9,5.888888888888889,1.5365907428821477,6.0,1.0
B_5,A,9,2.4444444444444446,1.8104634152000358,2.0,3.0
B_5,B,9,2.4444444444444446,1.4240006242195884,2.0,2.0
B_5,C,9,3.0,1.9364916731037085,2.0,2.0
B_6,A,9,2.0,1.3228756555322954,2.0,1.0
B_6,B,9,2.6666666666666665,1.7320508075688772,2.0,1.0
B_6,C,9,2.0,0.8660254037844386,2.0,0.0
B_7,A,9,3.111111111111111,1.1666666666666667,3.0,1.0
B_7,B,9,3.5555555555555554,1.9436506316151003,3.0,2.0
B_7,C,9,3.7777777777777777,0.6666666666666667,4.0,0.0
B_8,A,9,5.333333333333333,1.8708286933869709,6.0,1.0
B_8,B,9,5.111111111111111,1.7638342073763935,6.0,2.0
B_8,C,9,4.444444444444445,1.0137937550497031,4.0,0.0
B_9,A,9,4.111111111111111,1.7638342073763935,5.0,2.0
B_9,B,9,3.5555555555555554,1.740051084818425,3.0,3.0
B_9,C,9,4.555555555555555,1.4240006242195884,5.0,2.0
B_10,A,9,4.222222222222222,1.3944333775567928,4.0,2.0
B_10,B,9,4.444444444444445,1.740051084818425,4.0,2.0
B_10,C,9,4.0,1.5,5.0,3.0
B_11,A,9,6.666666666666667,0.7071067811865475,7.0,0.0
B_11,B,9,1.5555555555555556,1.0137937550497031,1.0,1.0
B_11,C,9,5.111111111111111,2.0275875100994063,6.0,3.0
B_12,A,9,1.4444444444444444,0.7264831572567789,1.0,1.0
B_12,B,9,2.6666666666666665,2.2912878474779204,2.0,2.0
B_12,C,9,3.3333333333333335,2.598076211353316,2.0,5.0
