participant_id,condition,updated_at_pre,A_1,A_2,A_3,A_4,A_5,A_6,A_7,aim,strategy,preset_id_pre,condition_label_pre,updated_at_post,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,preset_id_post,param_other,param_influence,interference_notes,expectation_vs_outcome,condition_label_post,_t_pre,_t_post,_t_any,block_position
1661J,A,2026-01-06T12:15:39.666879+00:00,5,6,6,3,5,2,7,Complexity/energy,"Start with lots of colour covering the grid, then reduce intensity and bring it back up to full coverage",1661J_A_20260106_121539,Visual-only,2026-01-06T12:19:43.900185+00:00,4,6,6,7,2,1,3,6,6,5,7,1,1661J_A_20260106_121539,,"['Max Population', 'Min Population', 'Rate']",Clear relationship between the audio and visuals,,Visual-only,2026-01-06 12:15:39.666879+00:00,2026-01-06 12:19:43.900185+00:00,2026-01-06 12:19:43.900185+00:00,2
1661J,B,2026-01-06T11:57:45.011891+00:00,6,2,4,6,7,1,6,A mix / unsure,understand how I can use the tool to create sound textures. play around with parameters and embrace randomness to achieve something cohesive,1661J_B_20260106_115745,Audio-only,2026-01-06T12:04:12.814827+00:00,7,6,7,7,1,1,2,2,3,5,1,3,1661J_B_20260106_115745,,"['Min Population', 'Max Neighbours', 'Scale']",Audio and visuals aligned perfectly.,The lights followed the musical motif as expected. As I could not see the the outcome when composing I tried to produce something musical instead of visual.,Audio-only,2026-01-06 11:57:45.011891+00:00,2026-01-06 12:04:12.814827+00:00,2026-01-06 12:04:12.814827+00:00,1
1661J,C,2026-01-06T12:31:03.785948+00:00,3,3,5,6,7,4,6,Complexity/energy,play around with the the sounds and visuals to bring together what I have learnt during the experiment. focus was to bring as much variety to the final session,1661J_C_20260106_123103,Audio+Visual,2026-01-06T12:39:14.747994+00:00,6,6,6,7,2,4,2,5,4,5,7,1,1661J_C_20260106_123103,,"['Rate', 'Min Neighbours', 'Max Neighbours']","the middle section of the track didnt change much despite me playing around with a lot of parameters, after this by chance I stumbled accross a really interesting motiff which I was really pleased with","I initially found this task less satisfying than my first two attempts. I think this is because while I have a basic understanding of the system, different parameters seeem to feed into the same outcome unless rules are followed. 

Despite this I really enjoyed the final playback as there were lots of interesting audio and visual outputs which were partially planned but also unexpected.",Audio+Visual,2026-01-06 12:31:03.785948+00:00,2026-01-06 12:39:14.747994+00:00,2026-01-06 12:39:14.747994+00:00,3
3483M,A,2026-01-06T16:14:26.656392+00:00,4,3,4,4,5,4,4,A mix / unsure,from a stable-ish pattern (black keys) turning new keys on or off one by one to see how it changed / felt / looked as a whole. ,3483M_A_20260106_161426,Visual-only,2026-01-06T16:23:15.612402+00:00,7,6,6,6,4,2,4,6,4,3,6,3,3483M_A_20260106_161426,,"['Max Population', 'Neighbourhood (Local/Extended)', 'Scale']",,"I couldn't imagine what it would be like from looking at the light pattern but I liked the sound and the correlations. the nature-like patterns and the shift in feel when adding a new colour, then the chaos broke out but managed to regain composure by the end. ",Visual-only,2026-01-06 16:14:26.656392+00:00,2026-01-06 16:23:15.612402+00:00,2026-01-06 16:23:15.612402+00:00,3
3483M,B,2026-01-06T15:22:53.398229+00:00,3,1,1,3,5,5,2,A mix / unsure,"try and create a pleasing sound, play with parameters randomly, full > empty / less > more / faster > slower",3483M_B_20260106_152253,Audio-only,2026-01-06T15:33:29.125855+00:00,7,7,6,6,5,3,4,3,4,2,1,2,3483M_B_20260106_152253,,"['Rate', 'Loop On/Off', 'Scale']",,I had no idea what it would be like so no expectations aside from faster to slower / more > less light. I had forgotten that compaitble colours made compatible tones which is perhaps why I didn't make a 'pleasing' chord/ sound. I did like the way it looked.,Audio-only,2026-01-06 15:22:53.398229+00:00,2026-01-06 15:33:29.125855+00:00,2026-01-06 15:33:29.125855+00:00,1
3483M,C,2026-01-06T15:56:03.443921+00:00,5,2,4,4,5,3,4,A mix / unsure,"audio focussed, playing with fewer parameters and the scale in search of a more pleasing sound, also the fuller > emptier spectrum",3483M_C_20260106_155603,Audio+Visual,2026-01-06T16:02:36.030570+00:00,7,3,6,6,2,1,4,4,3,2,2,2,3483M_C_20260106_155603,,"['Neighbourhood (Local/Extended)', 'Loop On/Off', 'Scale']",,I enjoyed the looping rhythms both visually and in sound,Audio+Visual,2026-01-06 15:56:03.443921+00:00,2026-01-06 16:02:36.030570+00:00,2026-01-06 16:02:36.030570+00:00,2
4069S,A,2026-01-07T12:21:46.545534+00:00,7,7,6,5,4,2,5,Stability/clarity,"Fill the whole grid with lights.
Build up a full grid then switch the rate up and down.",4069S_A_20260107_122146,Visual-only,2026-01-07T12:28:30.549302+00:00,7,7,7,6,1,5,3,4,5,6,7,1,4069S_A_20260107_122146,,"['Max Population', 'Rate', 'Max Neighbours']",No.,"I expected to be able to have more control over the system, even without sound. I felt this was the case, it was quite clear to understand the impact of my choices and work towards my strategy. 
I don't think I had a strong idea to how the recording would sound and it did sound chaotic. This chaotic sound was satisfying, less because of any typical musical merit, but more the ability to control this.",Visual-only,2026-01-07 12:21:46.545534+00:00,2026-01-07 12:28:30.549302+00:00,2026-01-07 12:28:30.549302+00:00,3
4069S,B,2026-01-07T12:04:28.985339+00:00,5,2,2,2,4,1,2,A mix / unsure,"This was more play and experimental.
More a/b testing to understand the properties.
Aim to overall build more sounds.",4069S_B_20260107_120428,Audio-only,2026-01-07T12:12:49.647375+00:00,6,3,3,7,1,2,7,4,5,7,1,1,4069S_B_20260107_120428,,"['Rate', 'Scale']","No, it felt coherant. ","The outcome was more satisflying than I felt the recording and playing process went.
It felt harder to control the system using purely sound, I think this is because I am a more visual person, however the build up of sound, even if random was fun and on review had more structure than maybe I realised during the process of recording.
Due to the speed of the lights and output produced, it felt like the sounds and audio had more of an impact. However I felt less in control of the sound during the recording.",Audio-only,2026-01-07 12:04:28.985339+00:00,2026-01-07 12:12:49.647375+00:00,2026-01-07 12:12:49.647375+00:00,2
4069S,C,2026-01-07T11:46:24.205079+00:00,6,4,5,3,6,4,3,Complexity/energy,"Build up busy space and sound.
Find and understand harmonies and chords, understand colour patterns and structures.
Play with notes to build out and understand melodies.",4069S_C_20260107_114624,Audio+Visual,2026-01-07T11:55:55.038272+00:00,7,7,7,7,7,2,4,4,2,5,6,1,4069S_C_20260107_114624,,"['Rate', 'Loop On/Off', 'Scale']","No, however it is possible to witness properties and not understand where they come from or how to control them, within this time frame.","I found the the video review revealed more structures than I expected, particularly the light patterns. With only one minute I initially felt that I may not be able to record anything with typical music structure, however the video and sound did have more musical merit than I thought. This is satisflying as someone who does not consider themselves musical. The visual patterns help reveal the relationships between notes.",Audio+Visual,2026-01-07 11:46:24.205079+00:00,2026-01-07 11:55:55.038272+00:00,2026-01-07 11:55:55.038272+00:00,1
4939Z,A,2026-01-06T19:12:40.116898+00:00,5,6,6,6,4,3,5,A mix / unsure,"Overall strategy was more aimed at achieving pleasant patterns and combinations of colours on the tool (e.g. quickly turning off a colour after turning it on and seeing it doesn't fit). During use of the tool this time I felt like I played more with a narrative associated to the visual display, especially towards the end where I increased the frequency of lights active at one time, followed by an 'ending' which had less and less lights active as the piece was ending.",4939Z_A_20260106_191240,Visual-only,2026-01-06T19:25:12.529143+00:00,3,2,5,5,6,2,3,5,3,5,7,2,4939Z_A_20260106_191240,,"['Max Population', 'Min Population', 'Rate', 'Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Scale']",Length of light activity was misleading for tone length which was shorter and did not match. ,"I expected the sound to be more dissonant than it was (i.e. a good matching between tones and light combinations - constructive intereference), this is probably related to the lights being kept on for longer than the associated sound was playing. At times (especially from the middle of the piece to the end) I did not find much association between light duration and note duration - destructive intereference.
The shared tonality was surprisingly consonant when colours where matched. When there were dissonant tones playing at the same time, it was more 'interesting' in the sound modality than in the lights modality (e.g. introduction of a green to predominantly purple/red colour combinations).

Overall, the creation of the piece this time was more intuition driven, and I was not 'thinking' about what would sound good given my background music theory knowledge.",Visual-only,2026-01-06 19:12:40.116898+00:00,2026-01-06 19:25:12.529143+00:00,2026-01-06 19:25:12.529143+00:00,2
