participant_id,condition,phase,item,n_missing,n_total
1661J,A,post,B_1,0,1
1661J,A,post,B_10,0,1
1661J,A,post,B_11,0,1
1661J,A,post,B_12,0,1
1661J,A,post,B_2,0,1
1661J,A,post,B_3,0,1
1661J,A,post,B_4,0,1
1661J,A,post,B_5,0,1
1661J,A,post,B_6,0,1
1661J,A,post,B_7,0,1
1661J,A,post,B_8,0,1
1661J,A,post,B_9,0,1
1661J,A,pre,A_1,0,1
1661J,A,pre,A_2,0,1
1661J,A,pre,A_3,0,1
1661J,A,pre,A_4,0,1
1661J,A,pre,A_5,0,1
1661J,A,pre,A_6,0,1
1661J,A,pre,A_7,0,1
1661J,B,post,B_1,0,1
1661J,B,post,B_10,0,1
1661J,B,post,B_11,0,1
1661J,B,post,B_12,0,1
1661J,B,post,B_2,0,1
1661J,B,post,B_3,0,1
1661J,B,post,B_4,0,1
1661J,B,post,B_5,0,1
1661J,B,post,B_6,0,1
1661J,B,post,B_7,0,1
1661J,B,post,B_8,0,1
1661J,B,post,B_9,0,1
1661J,B,pre,A_1,0,1
1661J,B,pre,A_2,0,1
1661J,B,pre,A_3,0,1
1661J,B,pre,A_4,0,1
1661J,B,pre,A_5,0,1
1661J,B,pre,A_6,0,1
1661J,B,pre,A_7,0,1
1661J,C,post,B_1,0,1
1661J,C,post,B_10,0,1
1661J,C,post,B_11,0,1
1661J,C,post,B_12,0,1
1661J,C,post,B_2,0,1
1661J,C,post,B_3,0,1
1661J,C,post,B_4,0,1
1661J,C,post,B_5,0,1
1661J,C,post,B_6,0,1
1661J,C,post,B_7,0,1
1661J,C,post,B_8,0,1
1661J,C,post,B_9,0,1
1661J,C,pre,A_1,0,1
1661J,C,pre,A_2,0,1
1661J,C,pre,A_3,0,1
1661J,C,pre,A_4,0,1
1661J,C,pre,A_5,0,1
1661J,C,pre,A_6,0,1
1661J,C,pre,A_7,0,1
3483M,A,post,B_1,0,1
3483M,A,post,B_10,0,1
3483M,A,post,B_11,0,1
3483M,A,post,B_12,0,1
3483M,A,post,B_2,0,1
3483M,A,post,B_3,0,1
3483M,A,post,B_4,0,1
3483M,A,post,B_5,0,1
3483M,A,post,B_6,0,1
3483M,A,post,B_7,0,1
3483M,A,post,B_8,0,1
3483M,A,post,B_9,0,1
3483M,A,pre,A_1,0,1
3483M,A,pre,A_2,0,1
3483M,A,pre,A_3,0,1
3483M,A,pre,A_4,0,1
3483M,A,pre,A_5,0,1
3483M,A,pre,A_6,0,1
3483M,A,pre,A_7,0,1
3483M,B,post,B_1,0,1
3483M,B,post,B_10,0,1
3483M,B,post,B_11,0,1
3483M,B,post,B_12,0,1
3483M,B,post,B_2,0,1
