participant_id,condition,updated_at,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,preset_id,param_other,param_influence,interference_notes,expectation_vs_outcome,condition_label,IntermedialityIndex
5344J,A,2026-01-05T17:19:10.578332+00:00,4,7,6,7,1,1,5,7,2,6,7,1,5344J_A_20260105_171136,,"['Rate', 'Min Neighbours', 'Max Neighbours']",,Having watched the video i would do it differntly and inlcude miore light tones,Visual-only,6.333333333333333
5344J,B,2026-01-05T17:35:47.033625+00:00,7,6,7,7,2,5,3,6,2,5,1,1,5344J_B_20260105_173052,,"['Rate', 'Loop On/Off', 'Scale']",,There were less lights than I was expecting to see lit at once ,Audio-only,6.0
5344J,C,2026-01-05T17:53:32.071358+00:00,6,5,6,6,2,2,4,4,5,5,6,1,5344J_C_20260105_174959,,"['Loop On/Off', 'Life Length', 'Scale']",,,Audio+Visual,5.833333333333333
5220H,A,2026-01-05T19:56:10.553650+00:00,2,6,6,7,1,1,2,6,6,4,7,1,5220H_A_20260105_193742,,"['Rate', 'Max Neighbours', 'Life Length']",no,"I thought it would sound a bit more chaotic and dissonant, I liked it. But it didn't sound like what I thought it would. I like the bits where I took all the lights out and brought them back in. It was more intense for me being able to hear the sound as well. it ended abuptly, given another chance I feel like i might be able to fade the lights out, but maybe not.",Visual-only,5.833333333333333
5220H,C,2026-01-05T20:15:23.362018+00:00,6,6,6,6,2,2,4,4,6,5,2,6,5220H_C_20260105_200917,,"['Rate', 'Life Length', 'Scale']",no,"I well happyt with that, kinda felt like i was playing it more., For me sound outways visuals and I prefer to control them.",Audio+Visual,6.0
5220H,B,2026-01-05T20:33:16.409195+00:00,6,6,6,6,2,2,2,7,2,3,4,2,5220H_B_20260105_202728,,"['Rate', 'Min Neighbours', 'Max Neighbours']",no,"It was better than I thought, seeing the visual maybe adds something to it. would have like to end it better, could hacve stopped a little earlier. Without the visuals i felt less in control ",Audio-only,6.0
1661J,B,2026-01-06T12:04:12.814827+00:00,7,6,7,7,1,1,2,2,3,5,1,3,1661J_B_20260106_115745,,"['Min Population', 'Max Neighbours', 'Scale']",Audio and visuals aligned perfectly.,The lights followed the musical motif as expected. As I could not see the the outcome when composing I tried to produce something musical instead of visual.,Audio-only,6.833333333333333
1661J,A,2026-01-06T12:19:43.900185+00:00,4,6,6,7,2,1,3,6,6,5,7,1,1661J_A_20260106_121539,,"['Max Population', 'Min Population', 'Rate']",Clear relationship between the audio and visuals,,Visual-only,6.0
1661J,C,2026-01-06T12:39:14.747994+00:00,6,6,6,7,2,4,2,5,4,5,7,1,1661J_C_20260106_123103,,"['Rate', 'Min Neighbours', 'Max Neighbours']","the middle section of the track didnt change much despite me playing around with a lot of parameters, after this by chance I stumbled accross a really interesting motiff which I was really pleased with","I initially found this task less satisfying than my first two attempts. I think this is because while I have a basic understanding of the system, different parameters seeem to feed into the same outcome unless rules are followed. 

Despite this I really enjoyed the final playback as there were lots of interesting audio and visual outputs which were partially planned but also unexpected.",Audio+Visual,5.833333333333333
3483M,B,2026-01-06T15:33:29.125855+00:00,7,7,6,6,5,3,4,3,4,2,1,2,3483M_B_20260106_152253,,"['Rate', 'Loop On/Off', 'Scale']",,I had no idea what it would be like so no expectations aside from faster to slower / more > less light. I had forgotten that compaitble colours made compatible tones which is perhaps why I didn't make a 'pleasing' chord/ sound. I did like the way it looked.,Audio-only,5.666666666666667
