participant_id,condition,updated_at,A_1,A_2,A_3,A_4,A_5,A_6,A_7,aim,strategy,preset_id,condition_label
5747E,A,2026-01-09T15:36:59.009305+00:00,4,5,4,5,4,2,2,A mix / unsure,,5747E_A_20260109_153659,Visual-only
5344J,A,2026-01-05T17:11:36.106873+00:00,3,6,3,5,6,6,6,A mix / unsure,I was trying to create a repating chaotic pattern ,5344J_A_20260105_171136,Visual-only
5344J,B,2026-01-05T17:30:52.684456+00:00,6,6,5,4,6,4,6,Stability/clarity,start with a slow tempo and build up to crecendo,5344J_B_20260105_173052,Audio-only
5344J,C,2026-01-05T17:49:59.338517+00:00,7,7,7,7,7,5,7,Complexity/energy,aim was to build with culsters of light and tempo then reduce at intervals,5344J_C_20260105_174959,Audio+Visual
5220H,A,2026-01-05T19:37:42.154093+00:00,6,7,6,4,6,3,7,Complexity/energy,"I wanted to make it as light as possible to start then bring the light out. I really liked some of the more equal patterns that I/we created. I wanted to have another swing at it, I felt pressure to do something good in the alloted time, where as I didnt feel that in the practice and at the end I liked what I did. ",5220H_A_20260105_193742,Visual-only
3483M,B,2026-01-06T15:22:53.398229+00:00,3,1,1,3,5,5,2,A mix / unsure,"try and create a pleasing sound, play with parameters randomly, full > empty / less > more / faster > slower",3483M_B_20260106_152253,Audio-only
5220H,C,2026-01-05T20:09:17.631926+00:00,6,4,5,5,5,2,7,A mix / unsure,I wanted it a bit dissonaty to start with and then more harmonic at the end then fade out. I made this up as i went along,5220H_C_20260105_200917,Audio+Visual
5220H,B,2026-01-05T20:27:28.074727+00:00,3,3,3,6,3,2,6,Complexity/energy,"I didnt really have a plan kinda just wanted it to sound nice, I found it quick hard to get what was going on. defo felt somthing missing. I found it quite hard",5220H_B_20260105_202728,Audio-only
1661J,B,2026-01-06T11:57:45.011891+00:00,6,2,4,6,7,1,6,A mix / unsure,understand how I can use the tool to create sound textures. play around with parameters and embrace randomness to achieve something cohesive,1661J_B_20260106_115745,Audio-only
1661J,A,2026-01-06T12:15:39.666879+00:00,5,6,6,3,5,2,7,Complexity/energy,"Start with lots of colour covering the grid, then reduce intensity and bring it back up to full coverage",1661J_A_20260106_121539,Visual-only
1661J,C,2026-01-06T12:31:03.785948+00:00,3,3,5,6,7,4,6,Complexity/energy,play around with the the sounds and visuals to bring together what I have learnt during the experiment. focus was to bring as much variety to the final session,1661J_C_20260106_123103,Audio+Visual
3483M,C,2026-01-06T15:56:03.443921+00:00,5,2,4,4,5,3,4,A mix / unsure,"audio focussed, playing with fewer parameters and the scale in search of a more pleasing sound, also the fuller > emptier spectrum",3483M_C_20260106_155603,Audio+Visual
3483M,A,2026-01-06T16:14:26.656392+00:00,4,3,4,4,5,4,4,A mix / unsure,from a stable-ish pattern (black keys) turning new keys on or off one by one to see how it changed / felt / looked as a whole. ,3483M_A_20260106_161426,Visual-only
4939Z,C,2026-01-06T18:47:29.420792+00:00,5,4,5,3,6,6,3,Stability/clarity,"Find set of parameters that resulted in 'the right' amount of sounds being produced in a given interval
Initially start with a tone set that I thought would work (based on sounds). Change active tones by removing and adding nearby. During task I was influenced by which sounds to activate/deactivate based on the colour combinations being displayed - aiming for hue-similar colours to be simultaneously active.",4939Z_C_20260106_184729,Audio+Visual
4939Z,A,2026-01-06T19:12:40.116898+00:00,5,6,6,6,4,3,5,A mix / unsure,"Overall strategy was more aimed at achieving pleasant patterns and combinations of colours on the tool (e.g. quickly turning off a colour after turning it on and seeing it doesn't fit). During use of the tool this time I felt like I played more with a narrative associated to the visual display, especially towards the end where I increased the frequency of lights active at one time, followed by an 'ending' which had less and less lights active as the piece was ending.",4939Z_A_20260106_191240,Visual-only
4939Z,B,2026-01-06T19:37:39.226339+00:00,6,6,5,5,4,6,3,Stability/clarity,I was aiming for finding pleasant melodies/harmonic movement by individual tones on and off together. I was not focusing on colour matching tones but instead relied on a mixture of trial and error and expectations of what tones would match based on music theory/harmony knowledge.,4939Z_B_20260106_193739,Audio-only
4069S,C,2026-01-07T11:46:24.205079+00:00,6,4,5,3,6,4,3,Complexity/energy,"Build up busy space and sound.
Find and understand harmonies and chords, understand colour patterns and structures.
Play with notes to build out and understand melodies.",4069S_C_20260107_114624,Audio+Visual
4069S,B,2026-01-07T12:04:28.985339+00:00,5,2,2,2,4,1,2,A mix / unsure,"This was more play and experimental.
More a/b testing to understand the properties.
Aim to overall build more sounds.",4069S_B_20260107_120428,Audio-only
4069S,A,2026-01-07T12:21:46.545534+00:00,7,7,6,5,4,2,5,Stability/clarity,"Fill the whole grid with lights.
Build up a full grid then switch the rate up and down.",4069S_A_20260107_122146,Visual-only
5747E,C,2026-01-09T15:15:43.909699+00:00,6,5,4,5,6,1,5,Stability/clarity,,5747E_C_20260109_151543,Audio+Visual
6770L,A,2026-01-07T14:53:01.379398+00:00,7,6,6,6,7,4,6,,thinking about an arc - building a crescendo into chaos ,6770L_A_20260107_145301,Visual-only
6770L,B,2026-01-07T15:20:25.361976+00:00,6,7,5,6,5,6,7,,"a differnet game - brain shift not seeing any visuals - but didnt take long to adapt and get into the sounds world. as soon as the visuals wernt there i really did notice a shift in my engament comapered with audio and visual . really thinking about texture and desity, looping was fundamental, starting wth basic, empty loop, and allowing things to quite slowy become randomised to try and not let go of the loop, keeping it sparse, and then come back to another loop - musical container, some sense of predicatability, how would you make an audience feel safe in this sound - felt like a repetition is how that could be acheived.",6770L_B_20260107_152025,Audio-only
6770L,C,2026-01-07T15:45:34.856389+00:00,7,3,5,6,6,3,5,,"felt more at ease in not having an artisitic plan - i also have a phrase in my head - there something like a collaboration working with the instrumennt, more acceptance, a level of curiosity not trying to control it as much, had to remind myself to keep looking at the visuals, but i have mush more of an affinity with sound and that felt obvious to me. found it really fun, noticing my personal preferneces and happy to lean in to them, , feeling like personal voice come through",6770L_C_20260107_154534,Audio+Visual
7974C,B,2026-01-07T17:58:52.403656+00:00,4,6,4,2,6,3,3,A mix / unsure,I aimed to draw from a longer/slower movement to something more frenetic then settle again. There appeared to be a two note combinations that produced scattershot bursts and I wanted to swap in and out of one.,7974C_B_20260107_175852,Audio-only
7974C,A,2026-01-07T18:31:25.003301+00:00,6,6,6,5,4,2,5,Stability/clarity,"I could see a relationship between s few chords and the visual patterns they made, and hoped to progress through these - vertical lines, down right diagonals, clusters of 5. Some attempt to change the pace in an arc.",7974C_A_20260107_183124,Visual-only
7974C,C,2026-01-07T19:03:42.252726+00:00,5,7,6,4,5,4,5,Complexity/energy,"Aiming to oscillate between fullnes/complexity and simplicity/sparseness, but by different means - on one side using the life span / rate / neighbourhood rules, on the other side using the effect of harmonies and note availability.",7974C_C_20260107_190342,Audio+Visual
5747E,B,2026-01-09T15:58:02.468160+00:00,6,3,4,4,4,2,2,A mix / unsure,,5747E_B_20260109_155802,Audio-only
