participant_id,condition,participant_id,condition,aim,strategy,expectation_vs_outcome,interference_notes,param_influence,param_other
1661J,A,1661J,A,Complexity/energy,"Start with lots of colour covering the grid, then reduce intensity and bring it back up to full coverage",,Clear relationship between the audio and visuals,"['Max Population', 'Min Population', 'Rate']",
1661J,B,1661J,B,A mix / unsure,understand how I can use the tool to create sound textures. play around with parameters and embrace randomness to achieve something cohesive,The lights followed the musical motif as expected. As I could not see the the outcome when composing I tried to produce something musical instead of visual.,Audio and visuals aligned perfectly.,"['Min Population', 'Max Neighbours', 'Scale']",
1661J,C,1661J,C,Complexity/energy,play around with the the sounds and visuals to bring together what I have learnt during the experiment. focus was to bring as much variety to the final session,"I initially found this task less satisfying than my first two attempts. I think this is because while I have a basic understanding of the system, different parameters seeem to feed into the same outcome unless rules are followed. 

Despite this I really enjoyed the final playback as there were lots of interesting audio and visual outputs which were partially planned but also unexpected.","the middle section of the track didnt change much despite me playing around with a lot of parameters, after this by chance I stumbled accross a really interesting motiff which I was really pleased with","['Rate', 'Min Neighbours', 'Max Neighbours']",
3483M,A,3483M,A,A mix / unsure,from a stable-ish pattern (black keys) turning new keys on or off one by one to see how it changed / felt / looked as a whole. ,"I couldn't imagine what it would be like from looking at the light pattern but I liked the sound and the correlations. the nature-like patterns and the shift in feel when adding a new colour, then the chaos broke out but managed to regain composure by the end. ",,"['Max Population', 'Neighbourhood (Local/Extended)', 'Scale']",
3483M,B,3483M,B,A mix / unsure,"try and create a pleasing sound, play with parameters randomly, full > empty / less > more / faster > slower",I had no idea what it would be like so no expectations aside from faster to slower / more > less light. I had forgotten that compaitble colours made compatible tones which is perhaps why I didn't make a 'pleasing' chord/ sound. I did like the way it looked.,,"['Rate', 'Loop On/Off', 'Scale']",
3483M,C,3483M,C,A mix / unsure,"audio focussed, playing with fewer parameters and the scale in search of a more pleasing sound, also the fuller > emptier spectrum",I enjoyed the looping rhythms both visually and in sound,,"['Neighbourhood (Local/Extended)', 'Loop On/Off', 'Scale']",
4069S,A,4069S,A,Stability/clarity,"Fill the whole grid with lights.
Build up a full grid then switch the rate up and down.","I expected to be able to have more control over the system, even without sound. I felt this was the case, it was quite clear to understand the impact of my choices and work towards my strategy. 
I don't think I had a strong idea to how the recording would sound and it did sound chaotic. This chaotic sound was satisfying, less because of any typical musical merit, but more the ability to control this.",No.,"['Max Population', 'Rate', 'Max Neighbours']",
4069S,B,4069S,B,A mix / unsure,"This was more play and experimental.
More a/b testing to understand the properties.
Aim to overall build more sounds.","The outcome was more satisflying than I felt the recording and playing process went.
It felt harder to control the system using purely sound, I think this is because I am a more visual person, however the build up of sound, even if random was fun and on review had more structure than maybe I realised during the process of recording.
Due to the speed of the lights and output produced, it felt like the sounds and audio had more of an impact. However I felt less in control of the sound during the recording.","No, it felt coherant. ","['Rate', 'Scale']",
4069S,C,4069S,C,Complexity/energy,"Build up busy space and sound.
Find and understand harmonies and chords, understand colour patterns and structures.
Play with notes to build out and understand melodies.","I found the the video review revealed more structures than I expected, particularly the light patterns. With only one minute I initially felt that I may not be able to record anything with typical music structure, however the video and sound did have more musical merit than I thought. This is satisflying as someone who does not consider themselves musical. The visual patterns help reveal the relationships between notes.","No, however it is possible to witness properties and not understand where they come from or how to control them, within this time frame.","['Rate', 'Loop On/Off', 'Scale']",
4939Z,A,4939Z,A,A mix / unsure,"Overall strategy was more aimed at achieving pleasant patterns and combinations of colours on the tool (e.g. quickly turning off a colour after turning it on and seeing it doesn't fit). During use of the tool this time I felt like I played more with a narrative associated to the visual display, especially towards the end where I increased the frequency of lights active at one time, followed by an 'ending' which had less and less lights active as the piece was ending.","I expected the sound to be more dissonant than it was (i.e. a good matching between tones and light combinations - constructive intereference), this is probably related to the lights being kept on for longer than the associated sound was playing. At times (especially from the middle of the piece to the end) I did not find much association between light duration and note duration - destructive intereference.
The shared tonality was surprisingly consonant when colours where matched. When there were dissonant tones playing at the same time, it was more 'interesting' in the sound modality than in the lights modality (e.g. introduction of a green to predominantly purple/red colour combinations).

Overall, the creation of the piece this time was more intuition driven, and I was not 'thinking' about what would sound good given my background music theory knowledge.",Length of light activity was misleading for tone length which was shorter and did not match. ,"['Max Population', 'Min Population', 'Rate', 'Neighbourhood (Local/Extended)', 'Min Neighbours', 'Max Neighbours', 'Scale']",
