participant_id,condition,phase,item,value,item_label,is_reverse,construct,block_position,timestamps
5747E,A,pre,A_1,4.0,A1 satisfaction,False,,2,2026-01-09 15:36:59.009305+00:00
5747E,A,pre,A_2,5.0,A2 intention clarity,False,Agency Index,2,2026-01-09 15:36:59.009305+00:00
5747E,A,pre,A_3,4.0,A3 steerability,False,Agency Index,2,2026-01-09 15:36:59.009305+00:00
5747E,A,pre,A_4,5.0,A4 interface workable,False,Agency Index,2,2026-01-09 15:36:59.009305+00:00
5747E,A,pre,A_5,4.0,A5 useful surprise,False,,2,2026-01-09 15:36:59.009305+00:00
5747E,A,pre,A_6,2.0,A6 frustrating unpredictability,True,Agency Index,2,2026-01-09 15:36:59.009305+00:00
5747E,A,pre,A_7,2.0,A7 others would find interesting,False,,2,2026-01-09 15:36:59.009305+00:00
5344J,A,pre,A_1,3.0,A1 satisfaction,False,,1,2026-01-05 17:11:36.106873+00:00
5344J,A,pre,A_2,6.0,A2 intention clarity,False,Agency Index,1,2026-01-05 17:11:36.106873+00:00
5344J,A,pre,A_3,3.0,A3 steerability,False,Agency Index,1,2026-01-05 17:11:36.106873+00:00
5344J,A,pre,A_4,5.0,A4 interface workable,False,Agency Index,1,2026-01-05 17:11:36.106873+00:00
5344J,A,pre,A_5,6.0,A5 useful surprise,False,,1,2026-01-05 17:11:36.106873+00:00
5344J,A,pre,A_6,6.0,A6 frustrating unpredictability,True,Agency Index,1,2026-01-05 17:11:36.106873+00:00
5344J,A,pre,A_7,6.0,A7 others would find interesting,False,,1,2026-01-05 17:11:36.106873+00:00
5344J,A,post,B_1,4.0,B1 same-process,False,Intermediality Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_2,7.0,B2 balanced modalities,False,Intermediality Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_3,6.0,B3 coherent/legible relationship,False,Intermediality Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_4,7.0,B4 constructive interference,False,Intermediality Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_5,1.0,B5 destructive interference,True,Intermediality Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_6,1.0,B6 overload,True,Intermediality Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_7,5.0,B7 expectation match,False,Mismatch Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_8,7.0,B8 interpretation change,False,Mismatch Index,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_9,2.0,B9 plausible causal story,False,,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_10,6.0,B10 system autonomy,False,,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_11,7.0,B11 relied on visual cues,False,,1,2026-01-05 17:19:10.578332+00:00
5344J,A,post,B_12,1.0,B12 relied on theory cues,False,,1,2026-01-05 17:19:10.578332+00:00
5344J,B,pre,A_1,6.0,A1 satisfaction,False,,2,2026-01-05 17:30:52.684456+00:00
5344J,B,pre,A_2,6.0,A2 intention clarity,False,Agency Index,2,2026-01-05 17:30:52.684456+00:00
5344J,B,pre,A_3,5.0,A3 steerability,False,Agency Index,2,2026-01-05 17:30:52.684456+00:00
5344J,B,pre,A_4,4.0,A4 interface workable,False,Agency Index,2,2026-01-05 17:30:52.684456+00:00
5344J,B,pre,A_5,6.0,A5 useful surprise,False,,2,2026-01-05 17:30:52.684456+00:00
5344J,B,pre,A_6,4.0,A6 frustrating unpredictability,True,Agency Index,2,2026-01-05 17:30:52.684456+00:00
5344J,B,pre,A_7,6.0,A7 others would find interesting,False,,2,2026-01-05 17:30:52.684456+00:00
5344J,B,post,B_1,7.0,B1 same-process,False,Intermediality Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_2,6.0,B2 balanced modalities,False,Intermediality Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_3,7.0,B3 coherent/legible relationship,False,Intermediality Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_4,7.0,B4 constructive interference,False,Intermediality Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_5,2.0,B5 destructive interference,True,Intermediality Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_6,5.0,B6 overload,True,Intermediality Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_7,3.0,B7 expectation match,False,Mismatch Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_8,6.0,B8 interpretation change,False,Mismatch Index,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_9,2.0,B9 plausible causal story,False,,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_10,5.0,B10 system autonomy,False,,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_11,1.0,B11 relied on visual cues,False,,2,2026-01-05 17:35:47.033625+00:00
5344J,B,post,B_12,1.0,B12 relied on theory cues,False,,2,2026-01-05 17:35:47.033625+00:00
5344J,C,pre,A_1,7.0,A1 satisfaction,False,,3,2026-01-05 17:49:59.338517+00:00
5344J,C,pre,A_2,7.0,A2 intention clarity,False,Agency Index,3,2026-01-05 17:49:59.338517+00:00
5344J,C,pre,A_3,7.0,A3 steerability,False,Agency Index,3,2026-01-05 17:49:59.338517+00:00
5344J,C,pre,A_4,7.0,A4 interface workable,False,Agency Index,3,2026-01-05 17:49:59.338517+00:00
5344J,C,pre,A_5,7.0,A5 useful surprise,False,,3,2026-01-05 17:49:59.338517+00:00
5344J,C,pre,A_6,5.0,A6 frustrating unpredictability,True,Agency Index,3,2026-01-05 17:49:59.338517+00:00
5344J,C,pre,A_7,7.0,A7 others would find interesting,False,,3,2026-01-05 17:49:59.338517+00:00
5344J,C,post,B_1,6.0,B1 same-process,False,Intermediality Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_2,5.0,B2 balanced modalities,False,Intermediality Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_3,6.0,B3 coherent/legible relationship,False,Intermediality Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_4,6.0,B4 constructive interference,False,Intermediality Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_5,2.0,B5 destructive interference,True,Intermediality Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_6,2.0,B6 overload,True,Intermediality Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_7,4.0,B7 expectation match,False,Mismatch Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_8,4.0,B8 interpretation change,False,Mismatch Index,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_9,5.0,B9 plausible causal story,False,,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_10,5.0,B10 system autonomy,False,,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_11,6.0,B11 relied on visual cues,False,,3,2026-01-05 17:53:32.071358+00:00
5344J,C,post,B_12,1.0,B12 relied on theory cues,False,,3,2026-01-05 17:53:32.071358+00:00
5344J,A,end,rank,3.0,Preference rank (1=best),False,,1,2026-01-05 17:57:24.345770+00:00
5344J,B,end,rank,2.0,Preference rank (1=best),False,,2,2026-01-05 17:57:24.345770+00:00
