Item,Item label,Condition,Condition label,N,"Median [Q1, Q3]"
A_1,A1 satisfaction,A,Visual Only,9,"5.00 [4.00, 6.00]"
A_1,A1 satisfaction,B,Audio Only,9,"6.00 [4.00, 6.00]"
A_1,A1 satisfaction,C,Audiovisual,9,"6.00 [5.00, 6.00]"
A_2,A2 intention clarity,A,Visual Only,9,"6.00 [6.00, 6.00]"
A_2,A2 intention clarity,B,Audio Only,9,"3.00 [2.00, 6.00]"
A_2,A2 intention clarity,C,Audiovisual,9,"4.00 [3.00, 5.00]"
A_3,A3 steerability,A,Visual Only,9,"6.00 [4.00, 6.00]"
A_3,A3 steerability,B,Audio Only,9,"4.00 [3.00, 5.00]"
A_3,A3 steerability,C,Audiovisual,9,"5.00 [5.00, 5.00]"
A_4,A4 interface workable,A,Visual Only,9,"5.00 [4.00, 5.00]"
A_4,A4 interface workable,B,Audio Only,9,"4.00 [3.00, 6.00]"
A_4,A4 interface workable,C,Audiovisual,9,"5.00 [4.00, 6.00]"
A_5,A5 useful surprise,A,Visual Only,9,"5.00 [4.00, 6.00]"
A_5,A5 useful surprise,B,Audio Only,9,"5.00 [4.00, 6.00]"
A_5,A5 useful surprise,C,Audiovisual,9,"6.00 [5.00, 6.00]"
A_6,A6 frustrating unpredictability,A,Visual Only,9,"3.00 [2.00, 4.00]"
A_6,A6 frustrating unpredictability,B,Audio Only,9,"3.00 [2.00, 5.00]"
A_6,A6 frustrating unpredictability,C,Audiovisual,9,"4.00 [3.00, 4.00]"
A_7,A7 others would find interesting,A,Visual Only,9,"5.00 [5.00, 6.00]"
A_7,A7 others would find interesting,B,Audio Only,9,"3.00 [2.00, 6.00]"
A_7,A7 others would find interesting,C,Audiovisual,9,"5.00 [4.00, 6.00]"
B_1,B1 same-process,A,Visual Only,9,"4.00 [3.00, 6.00]"
B_1,B1 same-process,B,Audio Only,9,"6.00 [6.00, 7.00]"
B_1,B1 same-process,C,Audiovisual,9,"6.00 [6.00, 6.00]"
B_10,B10 system autonomy,A,Visual Only,9,"4.00 [3.00, 5.00]"
B_10,B10 system autonomy,B,Audio Only,9,"4.00 [3.00, 5.00]"
B_10,B10 system autonomy,C,Audiovisual,9,"5.00 [2.00, 5.00]"
B_11,B11 relied on visual cues,A,Visual Only,9,"7.00 [7.00, 7.00]"
B_11,B11 relied on visual cues,B,Audio Only,9,"1.00 [1.00, 2.00]"
B_11,B11 relied on visual cues,C,Audiovisual,9,"6.00 [4.00, 7.00]"
B_12,B12 relied on theory cues,A,Visual Only,9,"1.00 [1.00, 2.00]"
B_12,B12 relied on theory cues,B,Audio Only,9,"2.00 [1.00, 3.00]"
B_12,B12 relied on theory cues,C,Audiovisual,9,"2.00 [1.00, 6.00]"
B_2,B2 balanced modalities,A,Visual Only,9,"6.00 [2.00, 6.00]"
B_2,B2 balanced modalities,B,Audio Only,9,"6.00 [3.00, 6.00]"
B_2,B2 balanced modalities,C,Audiovisual,9,"6.00 [3.00, 6.00]"
B_3,B3 coherent/legible relationship,A,Visual Only,9,"6.00 [5.00, 6.00]"
B_3,B3 coherent/legible relationship,B,Audio Only,9,"6.00 [5.00, 7.00]"
B_3,B3 coherent/legible relationship,C,Audiovisual,9,"6.00 [6.00, 6.00]"
B_4,B4 constructive interference,A,Visual Only,9,"6.00 [5.00, 7.00]"
B_4,B4 constructive interference,B,Audio Only,9,"6.00 [6.00, 7.00]"
B_4,B4 constructive interference,C,Audiovisual,9,"6.00 [6.00, 7.00]"
B_5,B5 destructive interference,A,Visual Only,9,"2.00 [1.00, 4.00]"
B_5,B5 destructive interference,B,Audio Only,9,"2.00 [1.00, 3.00]"
B_5,B5 destructive interference,C,Audiovisual,9,"2.00 [2.00, 4.00]"
B_6,B6 overload,A,Visual Only,9,"2.00 [1.00, 2.00]"
B_6,B6 overload,B,Audio Only,9,"2.00 [2.00, 3.00]"
B_6,B6 overload,C,Audiovisual,9,"2.00 [2.00, 2.00]"
B_7,B7 expectation match,A,Visual Only,9,"3.00 [3.00, 4.00]"
B_7,B7 expectation match,B,Audio Only,9,"3.00 [2.00, 4.00]"
B_7,B7 expectation match,C,Audiovisual,9,"4.00 [4.00, 4.00]"
B_8,B8 interpretation change,A,Visual Only,9,"6.00 [5.00, 6.00]"
B_8,B8 interpretation change,B,Audio Only,9,"6.00 [4.00, 6.00]"
B_8,B8 interpretation change,C,Audiovisual,9,"4.00 [4.00, 4.00]"
B_9,B9 plausible causal story,A,Visual Only,9,"5.00 [3.00, 5.00]"
B_9,B9 plausible causal story,B,Audio Only,9,"3.00 [2.00, 5.00]"
B_9,B9 plausible causal story,C,Audiovisual,9,"5.00 [4.00, 6.00]"
