id,Csharp,Dsharp,Z,Fsharp,Gsharp,Asharp,C,D,E,F,G,A,B,timestamp,chord,espId
1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 19:33:01,1,centre
2,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 19:33:02,1,centre
3,1,1,0,1,0,0,0,0,0,0,0,0,0,2025-06-12 19:33:02,1,centre
4,1,1,0,1,1,0,0,0,0,0,0,0,0,2025-06-12 19:33:04,1,centre
5,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 19:33:05,1,centre
6,1,1,0,1,1,1,1,0,0,0,0,0,0,2025-06-12 19:34:23,1,centre
7,1,1,0,1,1,1,1,0,0,1,0,0,0,2025-06-12 19:34:25,1,centre
8,1,1,0,1,1,1,1,1,0,1,0,0,0,2025-06-12 19:35:52,1,centre
9,1,1,0,1,1,1,1,1,1,1,0,0,0,2025-06-12 19:35:52,1,centre
10,1,1,0,1,1,1,1,1,1,1,1,0,0,2025-06-12 19:35:53,1,centre
11,1,1,0,1,1,1,1,1,1,1,1,1,0,2025-06-12 19:35:54,1,centre
12,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 19:35:54,1,centre
13,1,1,0,1,1,1,0,1,1,1,1,1,1,2025-06-12 19:36:27,1,centre
14,1,1,0,1,1,1,0,0,1,1,1,1,1,2025-06-12 19:36:27,1,centre
15,1,1,0,1,1,1,0,0,0,1,1,1,1,2025-06-12 19:36:28,1,centre
16,1,1,0,1,1,1,0,0,0,0,1,1,1,2025-06-12 19:36:28,1,centre
17,1,1,0,1,1,1,0,0,0,0,0,1,1,2025-06-12 19:36:29,1,centre
18,1,1,0,1,1,1,0,0,0,0,0,0,1,2025-06-12 19:36:29,1,centre
19,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 19:36:31,1,centre
20,0,0,0,0,0,0,1,0,0,0,0,0,0,2025-06-12 19:37:23,1,right
21,0,0,0,0,0,0,1,1,0,0,0,0,0,2025-06-12 19:37:24,1,right
22,0,0,0,0,0,0,1,1,1,0,0,0,0,2025-06-12 19:37:24,1,right
23,0,0,0,0,0,0,1,1,1,1,0,0,0,2025-06-12 19:37:25,1,right
24,0,0,0,0,0,0,1,1,1,1,1,0,0,2025-06-12 19:37:25,1,right
25,0,0,0,0,0,0,1,1,1,1,1,1,0,2025-06-12 19:37:26,1,right
26,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 19:37:26,1,right
27,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 19:39:34,1,left
28,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 19:39:35,1,left
29,1,1,0,1,0,0,0,0,0,0,0,0,0,2025-06-12 19:39:36,1,left
30,1,1,0,1,1,0,0,0,0,0,0,0,0,2025-06-12 19:39:36,1,left
31,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 19:39:37,1,left
32,0,0,0,0,0,0,0,1,1,1,1,1,1,2025-06-12 19:40:53,1,right
33,0,0,0,0,0,0,0,0,1,1,1,1,1,2025-06-12 19:40:54,1,right
34,0,0,0,0,0,0,0,0,0,1,1,1,1,2025-06-12 19:40:54,1,right
35,0,0,0,0,0,0,0,0,0,0,1,1,1,2025-06-12 19:40:55,1,right
36,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-06-12 19:40:55,1,right
37,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-06-12 19:40:56,1,right
38,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 19:40:56,1,right
39,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 19:40:57,1,right
40,1,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 19:40:58,1,right
41,1,1,0,1,0,0,0,0,0,0,0,0,0,2025-06-12 19:40:59,1,right
42,1,1,0,1,1,0,0,0,0,0,0,0,0,2025-06-12 19:41:00,1,right
43,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 19:41:00,1,right
44,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:01:04,1,all
45,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:01:44,1,centre
46,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:02:44,1,centre
47,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:03:08,1,centre
48,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:03:14,1,centre
49,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:03:18,1,centre
50,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:03:23,1,centre
51,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:15:06,1,centre
52,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:15:29,1,centre
53,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:15:39,1,centre
54,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:15:44,1,centre
55,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:19:48,1,centre
56,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:19:54,1,centre
57,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:20:04,1,centre
58,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:20:09,1,centre
59,0,0,0,0,0,0,1,1,1,1,1,1,1,2025-06-12 20:20:23,1,centre
60,1,1,0,1,1,1,1,1,1,1,1,1,1,2025-06-12 20:20:29,1,centre
61,1,1,0,1,1,1,0,0,0,0,0,0,0,2025-06-12 20:20:39,1,centre
