token,rater_label,clip_id,clip_filename,watched_complete,watch_progress_sec,duration_sec,memorability,perceived_agency,best_context,payload_json,end_highest_rated_notes,end_lowest_rated_notes,end_further_comments,end_payload_json,updated_at
2d7296df02f5bd7ff095f8b8304d3dc7,002,8,4069S_B_2026-01-07_12-00-27.mp4,True,80.4,80.4,,6,live_performance,"{'R_1': '5', 'R_2': '5', 'R_3': '6', 'R_4': '5', 'R_5': '5', 'R_6': '3', 'R_7': '4', 'R_8': '5', 'R_9': '6', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T15:49:27.143717+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,3,1661J_C_2026-01-06_12-27-39.mp4,True,80.698,80.698,,6,live_performance,"{'R_1': '7', 'R_2': '6', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '2', 'R_7': '3', 'R_8': '4', 'R_9': '6', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T15:52:14.481481+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,29,Default_Params_2026-01-07_10-17-02.mp4,True,70.933333,70.933333,,3,installation_gallery,"{'R_1': '6', 'R_2': '7', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '1', 'R_7': '1', 'R_8': '6', 'R_9': '3', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'unsure'}",,,,{},2026-01-10T16:47:42.297042+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,6,3483M_C_2026-01-06_15-51-19.mp4,True,81.541016,81.541016,,6,background_ambience,"{'R_1': '7', 'R_2': '6', 'R_3': '6', 'R_4': '6', 'R_5': '6', 'R_6': '3', 'R_7': '2', 'R_8': '5', 'R_9': '6', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T16:53:43.917080+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,9,4069S_C_2026-01-07_11-42-07.mp4,True,75.516667,75.516667,,7,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '1', 'R_7': '1', 'R_8': '5', 'R_9': '7', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-10T17:18:53.706015+00:00
2d7296df02f5bd7ff095f8b8304d3dc7,002,17,5344J_B_2026-01-05_17-27-06.mp4,True,71.033333,71.033333,,4,unsure,"{'R_1': '4', 'R_2': '3', 'R_3': '5', 'R_4': '4', 'R_5': '4', 'R_6': '4', 'R_7': '3', 'R_8': '1', 'R_9': '4', 'comments': '', 'attention': 'Balanced', 'condition_guess': 'audio_only'}",,,,{},2026-01-10T20:56:20.935945+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,8,4069S_B_2026-01-07_12-00-27.mp4,True,80.376,80.376,,2,installation_gallery,"{'R_1': '6', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '6', 'R_6': '2', 'R_7': '5', 'R_8': '4', 'R_9': '2', 'comments': 'Very fast moving - I found myself wondering what it would be like slowed down', 'attention': 'Mostly sound', 'condition_guess': 'visual_only'}",,,,{},2026-01-11T04:28:13.477629+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,15,5220H_C_2026-01-05_20-04-01.mp4,True,76.546,76.546,,6,live_performance,"{'R_1': '7', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '2', 'R_7': '2', 'R_8': '6', 'R_9': '6', 'comments': '', 'attention': 'Mostly sound', 'condition_guess': 'audiovisual'}",,,,{},2026-01-11T04:30:32.961584+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,16,5344J_A_2026-01-05_17-06-17.mp4,True,78.017,78.017,,5,background_ambience,"{'R_1': '6', 'R_2': '7', 'R_3': '7', 'R_4': '7', 'R_5': '7', 'R_6': '1', 'R_7': '1', 'R_8': '5', 'R_9': '5', 'comments': 'Love the colours on this one - it feels like they match the ambence of the sound', 'attention': 'Balanced', 'condition_guess': 'audiovisual'}",,,,{},2026-01-11T04:33:35.755708+00:00
9ff6821526a4f1c9aa137e26a25c378d,012,5,3483M_B_2026-01-06_15-16-26.mp4,True,73.591,73.591,,2,installation_gallery,"{'R_1': '3', 'R_2': '3', 'R_3': '5', 'R_4': '3', 'R_5': '3', 'R_6': '5', 'R_7': '6', 'R_8': '2', 'R_9': '2', 'comments': '', 'attention': 'Mostly sound', 'condition_guess': 'unsure'}",,,,{},2026-01-11T04:35:25.095101+00:00
