clip_id,participant_code,condition,role,preset_id,filepath
1,1661J,A,solo,1661J_A_20260106_121203,1661J_A_2026-01-06_12-12-03.mp4
2,1661J,B,solo,1661J_B_20260106_115256,1661J_B_2026-01-06_11-52-56.mp4
3,1661J,C,solo,1661J_C_20260106_122739,1661J_C_2026-01-06_12-27-39.mp4
4,3483M,A,solo,3483M_A_20260106_160943,3483M_A_2026-01-06_16-09-43.mp4
5,3483M,B,solo,3483M_B_20260106_151626,3483M_B_2026-01-06_15-16-26.mp4
6,3483M,C,solo,3483M_C_20260106_155119,3483M_C_2026-01-06_15-51-19.mp4
7,4069S,A,solo,4069S_A_20260107_121840,4069S_A_2026-01-07_12-18-40.mp4
8,4069S,B,solo,4069S_B_20260107_120027,4069S_B_2026-01-07_12-00-27.mp4
9,4069S,C,solo,4069S_C_20260107_114207,4069S_C_2026-01-07_11-42-07.mp4
10,4939Z,A,solo,4939Z_A_20260106_190721,4939Z_A_2026-01-06_19-07-21.mp4
11,4939Z,B,solo,4939Z_B_20260106_193145,4939Z_B_2026-01-06_19-31-45.mp4
12,4939Z,C,solo,4939Z_C_20260106_184059,4939Z_C_2026-01-06_18-40-59.mp4
13,5220H,A,solo,5220H_A_20260105_192319,5220H_A_2026-01-05_19-23-19.mp4
14,5220H,B,solo,5220H_B_20260105_202236,5220H_B_2026-01-05_20-22-36.mp4
15,5220H,C,solo,5220H_C_20260105_200401,5220H_C_2026-01-05_20-04-01.mp4
16,5344J,A,solo,5344J_A_20260105_170617,5344J_A_2026-01-05_17-06-17.mp4
17,5344J,B,solo,5344J_B_20260105_172706,5344J_B_2026-01-05_17-27-06.mp4
18,5344J,C,solo,5344J_C_20260105_174630,5344J_C_2026-01-05_17-46-30.mp4
19,5747E,A,solo,5747E_A_20260109_153244,5747E_A_2026-01-09_15-32-44.mp4
20,5747E,B,solo,5747E_B_20260109_155452,5747E_B_2026-01-09_15-54-52.mp4
21,5747E,C,solo,5747E_C_20260109_151041,5747E_C_2026-01-09_15-10-41.mp4
22,6770L,A,solo,6770L_A_20260107_144810,6770L_A_2026-01-07_14-48-10.mp4
23,6770L,B,solo,6770L_B_20260107_151353,6770L_B_2026-01-07_15-13-53.mp4
24,6770L,C,solo,6770L_C_20260107_153922,6770L_C_2026-01-07_15-39-22.mp4
25,7974C,A,solo,7974C_A_20260107_182726,7974C_A_2026-01-07_18-27-26.mp4
26,7974C,B,solo,7974C_B_20260107_175219,7974C_B_2026-01-07_17-52-19.mp4
27,7974C,C,solo,7974C_C_20260107_185915,7974C_C_2026-01-07_18-59-15.mp4
28,CONTROL,CONTROL,solo,Default_Params_2026-01-06_10-07-27,Default_Params_2026-01-06_10-07-27.mp4
29,CONTROL,CONTROL,solo,Default_Params_2026-01-07_10-17-02,Default_Params_2026-01-07_10-17-02.mp4
30,CONTROL,CONTROL,solo,Default_Params_2026-01-09_14-23-48,Default_Params_2026-01-09_14-23-48.mp4
